遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出
0,-0.07,0.07,0.04,0.04,0,0.04,-0.04,0,6.6,-0.08
0,-0.07,0.07,0.04,0.04,0.01,0.03,-0.07,0,6.75,-0.1
0,-0.07,0.07,0.04,0.04,0,0.02,0.04,0,7.2,0.01
0,-0.07,0.07,0.04,0.04,-0.03,0.05,0.22,0,8.1,0.17
0,-0.07,0.07,0.03,0.03,-0.04,0.07,0.2,0,8.4,0.13
0,-0.07,0.07,0.03,0.03,-0.02,0.06,-0.05,0,9.75,-0.12
0,-0.07,0.07,0.03,0.03,-0.04,0.06,0.14,0,10.2,0.08
0,-0.07,0.07,0.03,0.03,-0.04,0.08,0.15,0,11.25,0.07
0,-0.06,0.06,0.03,0.03,-0.02,0.06,-0.07,0,12.3,-0.13
0,-0.06,0.07,0.03,0.03,-0.03,0.06,0.09,0,12.75,0.03
0,-0.06,0.06,0.03,0.03,-0.01,0.06,0.04,0,13.05,-0.02
0,-0.06,0.06,0.03,0.03,0.01,0.03,-0.2,0,13.2,-0.22
0,-0.06,0.06,0.03,0.03,0.01,0.02,0.04,0,13.65,0.02
0,-0.06,0.06,0.03,0.03,0,0.03,0.08,0,15.3,0.06
0,-0.06,0.06,0.03,0.03,0,0.03,0.03,0,16.65,0
0,-0.06,0.06,0.03,0.03,0,0.02,-0.01,0,17.25,-0.04
0,-0.06,0.06,0.03,0.03,-0.01,0.03,0.13,0,17.4,0.1
0,-0.06,0.06,0.03,0.03,-0.01,0.05,0.09,0,18.9,0.04
0,-0.06,0.06,0.03,0.03,-0.01,0.03,-0.05,0,19.8,-0.08
0,-0.06,0.06,0.03,0.03,-0.03,0.05,0.17,0,20.1,0.12
0,-0.05,0.05,0.02,0.02,-0.08,0.07,0.23,0,20.55,0.16
0,-0.07,0.07,0.03,0.03,-0.11,0.16,0.67,1,20.7,0.51
0,-0.07,0.06,0.03,0.03,-0.07,0.1,-0.44,0,21.45,-0.53
0,-0.09,0.07,0.04,0.04,-0.19,0.17,0.93,1,22.35,0.76
0,-0.1,0.09,0.05,0.05,-0.22,0.26,0.57,1,22.65,0.31
0,-0.1,0.1,0.05,0.05,-0.15,0.24,-0.03,0,23.1,-0.27
0,-0.1,0.1,0.05,0.05,-0.03,0.13,-0.69,-1,23.1,-0.82
0,-0.11,0.1,0.05,0.05,-0.03,0.07,-0.11,0,23.25,-0.17
0,-0.09,0.1,0.05,0.05,-0.05,0.1,0.37,0,23.1,0.27
0,-0.08,0.09,0.04,0.04,0.01,0.08,-0.16,0,24,-0.24
