遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出,I项输出
0,-0.24,0.24,0.6,0.6,-1.06,0.63,0.8,1,38.25,0,0.18
0,-0.25,0.26,0.64,0.64,-0.97,0.69,0.87,1,38.25,0,0.19
0,-0.26,0.25,0.63,0.63,-0.51,0.56,0.75,1,38.25,0,0.19
0,-0.26,0.26,0.66,0.66,-0.12,0.38,0.58,1,38.25,0,0.2
0,-0.25,0.26,0.64,0.64,0.07,0.27,0.47,0,38.25,0,0.2
0,-0.23,0.23,0.58,0.58,0.45,0.14,0.35,0,38.25,0,0.21
0,-0.22,0.22,0.56,0.56,0.73,-0.03,0.18,0,38.25,0,0.21
0,-0.21,0.22,0.55,0.55,0.47,-0.04,0.17,0,38.25,0,0.21
0,-0.21,0.2,0.49,0.49,0.25,0.07,0.28,0,38.25,0,0.21
0,-0.22,0.21,0.52,0.52,0.1,0.12,0.33,0,38.25,0,0.21
0,-0.23,0.23,0.58,0.58,-0.43,0.28,0.5,0,38.25,0,0.21
0,-0.25,0.24,0.6,0.6,-0.93,0.53,0.75,1,38.25,0,0.22
0,-0.26,0.25,0.63,0.63,-0.86,0.64,0.87,1,38.25,0,0.23
0,-0.28,0.27,0.68,0.68,-0.63,0.57,0.81,1,38.25,0,0.24
0,-0.27,0.26,0.65,0.65,-0.31,0.46,0.7,1,38.25,0,0.25
0,-0.25,0.25,0.64,0.64,0.17,0.29,0.54,1,38.25,0,0.25
0,-0.24,0.24,0.61,0.61,0.57,0.09,0.34,0,38.25,0,0.25
0,-0.22,0.22,0.56,0.56,0.82,-0.06,0.19,0,38.25,0,0.25
0,-0.21,0.21,0.53,0.53,0.78,-0.13,0.12,0,38.25,0,0.25
0,-0.21,0.21,0.53,0.53,0.44,-0.04,0.21,0,38.25,0,0.25
0,-0.23,0.21,0.53,0.53,0.05,0.11,0.36,0,38.25,0,0.25
0,-0.25,0.23,0.57,0.57,-0.39,0.29,0.54,1,38.25,0,0.25
0,-0.26,0.26,0.65,0.65,-0.91,0.53,0.79,1,38.25,0,0.26
0,-0.29,0.27,0.68,0.68,-1.07,0.68,0.96,1,38.25,0,0.27
0,-0.29,0.29,0.72,0.72,-0.94,0.7,0.99,1,38.25,0,0.28
0,-0.29,0.3,0.76,0.76,-0.68,0.63,0.92,1,38.25,0,0.29
0,-0.3,0.29,0.73,0.73,-0.33,0.5,0.8,1,38.25,0,0.3
0,-0.29,0.29,0.72,0.72,0.03,0.34,0.65,1,38.25,0,0.31
0,-0.27,0.29,0.72,0.72,0.35,0.21,0.52,1,38.25,0,0.31
0,-0.25,0.26,0.65,0.65,0.61,0.06,0.37,0,38.25,0,0.31
0,-0.24,0.25,0.62,0.62,0.64,-0.01,0.3,0,38.25,0,0.31
0,-0.25,0.26,0.65,0.65,0.41,0.05,0.36,0,38.25,0,0.31
0,-0.27,0.27,0.67,0.67,0.08,0.16,0.48,0,38.25,0,0.31
0,-0.28,0.27,0.67,0.67,-0.33,0.31,0.63,1,38.25,0,0.32
0,-0.29,0.3,0.75,0.75,-0.75,0.53,0.85,1,38.25,0,0.32
0,-0.31,0.31,0.77,0.77,-0.84,0.64,0.98,1,38.25,0,0.33
0,-0.3,0.31,0.79,0.79,-0.64,0.62,0.97,1,38.55,0,0.34
0,-0.3,0.32,0.8,0.8,-0.28,0.51,0.86,1,39.15,0,0.35
0,-0.3,0.31,0.78,0.78,0.16,0.34,0.7,1,41.25,0,0.36
0,-0.28,0.29,0.73,0.73,0.55,0.14,0.5,0,42,0,0.36
0,-0.26,0.26,0.66,0.66,0.9,-0.03,0.33,0,43.95,0,0.36
0,-0.26,0.26,0.65,0.65,0.95,-0.13,0.23,0,44.7,0,0.36
0,-0.25,0.25,0.63,0.63,0.53,-0.07,0.29,0,44.85,0,0.36
0,-0.26,0.26,0.64,0.64,0.02,0.16,0.52,1,47.55,0,0.36
0,-0.29,0.28,0.7,0.7,-0.27,0.34,0.7,1,48.9,0,0.36
0,-0.31,0.3,0.76,0.76,-0.56,0.47,0.84,1,53.7,0,0.37
