遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出,I项输出
0,0.17,-0.11,-0.42,-0.42,4.29,-1.61,-0.76,-1,52.8,0,0.85
0,0.31,-0.26,-1.03,-1.03,5.1,-2.33,-1.5,-2,52.8,0,0.83
0,0.39,-0.35,-1.39,-1.39,5.16,-2.65,-1.84,-3,52.8,0,0.81
0,0.48,-0.44,-1.76,-1.76,4.52,-2.67,-1.88,-3,52.8,0,0.79
0,0.49,-0.49,-1.96,-1.96,3.09,-2.35,-1.58,-3,52.8,0,0.77
0,0.47,-0.47,-1.89,-1.89,0.73,-1.55,-0.8,-1,52.8,0,0.76
0,0.4,-0.45,-1.8,-1.8,-1.77,-0.49,0.26,0,52.8,0,0.75
0,0.32,-0.35,-1.42,-1.42,-3.53,0.54,1.29,2,52.8,0,0.75
0,0.2,-0.28,-1.11,-1.11,-4.69,1.22,1.98,3,52.8,0,0.76
0,0.1,-0.16,-0.62,-0.62,-5.3,1.79,2.56,5,52.8,0,0.77
0,0.04,-0.08,-0.31,-0.31,-4.9,1.97,2.76,5,52.8,0,0.79
0,0,-0.01,-0.04,-0.04,-3.62,1.71,2.52,5,52.8,0,0.8
0,0,0.01,0.04,0.04,-2.02,1.15,1.97,3,52.8,0,0.81
0,0.04,0,0.01,0.01,-0.13,0.45,1.27,2,52.8,0,0.82
0,0.15,-0.09,-0.36,-0.36,2.14,-0.53,0.29,0,52.8,0,0.82
0,0.24,-0.21,-0.84,-0.84,4.43,-1.67,-0.86,-1,52.8,0,0.8
0,0.36,-0.3,-1.21,-1.21,5.9,-2.61,-1.82,-3,52.8,0,0.79
0,0.48,-0.43,-1.71,-1.71,5.87,-3.13,-2.36,-4,52.8,0,0.76
0,0.53,-0.49,-1.96,-1.96,4.4,-2.89,-2.15,-4,52.8,0,0.74
0,0.58,-0.56,-2.25,-2.25,2.64,-2.29,-1.57,-3,52.8,0,0.72
0,0.58,-0.58,-2.33,-2.33,1.1,-1.68,-0.97,-1,52.8,0,0.71
0,0.52,-0.55,-2.22,-2.22,-0.92,-0.96,-0.26,0,52.8,0,0.7
0,0.4,-0.46,-1.85,-1.85,-3.32,0.12,0.82,1,52.8,0,0.7
0,0.32,-0.37,-1.49,-1.49,-4.76,1.1,1.8,3,52.8,0,0.71
0,0.2,-0.28,-1.11,-1.11,-5,1.54,2.26,4,52.8,0,0.72
0,0.13,-0.16,-0.62,-0.62,-4.92,1.74,2.47,4,52.8,0,0.73
0,0.08,-0.1,-0.4,-0.4,-4.35,1.74,2.48,4,52.8,0,0.74
0,0.07,-0.06,-0.25,-0.25,-2.75,1.37,2.12,4,52.8,0,0.75
0,0.1,-0.07,-0.29,-0.29,-0.46,0.54,1.3,2,52.8,0,0.76
0,0.2,-0.14,-0.57,-0.57,1.7,-0.5,0.26,0,52.8,0,0.76
0,0.27,-0.24,-0.95,-0.95,3.32,-1.41,-0.66,-1,52.8,0,0.75
0,0.39,-0.34,-1.35,-1.35,4.53,-2.13,-1.39,-2,52.8,0,0.73
0,0.49,-0.44,-1.78,-1.78,5.16,-2.7,-1.98,-3,52.8,0,0.72
0,0.54,-0.51,-2.05,-2.05,4.58,-2.84,-2.15,-4,52.8,0,0.69
0,0.59,-0.56,-2.24,-2.24,2.82,-2.41,-1.73,-3,52.8,0,0.68
0,0.55,-0.57,-2.27,-2.27,0.88,-1.64,-0.98,-1,52.8,0,0.66
0,0.5,-0.53,-2.11,-2.11,-1.01,-0.83,-0.17,0,52.8,0,0.65
0,0.4,-0.45,-1.79,-1.79,-3.19,0.11,0.77,1,52.8,0,0.65
0,0.29,-0.36,-1.42,-1.42,-4.81,1.1,1.76,3,52.8,0,0.66
0,0.22,-0.26,-1.06,-1.06,-4.86,1.59,2.26,4,52.8,0,0.67
0,0.13,-0.19,-0.75,-0.75,-4.2,1.51,2.19,4,52.8,0,0.68
0,0.11,-0.12,-0.46,-0.46,-3.67,1.39,2.08,4,52.8,0,0.69
0,0.13,-0.11,-0.46,-0.46,-2.37,1.1,1.8,3,52.8,0,0.7
0,0.16,-0.13,-0.5,-0.5,0.32,0.26,0.96,1,52.8,0,0.71
0,0.27,-0.2,-0.8,-0.8,3.16,-1.05,-0.35,0,52.8,0,0.7
0,0.37,-0.33,-1.31,-1.31,4.59,-2.16,-1.48,-2,52.8,0,0.69
0,0.43,-0.4,-1.59,-1.59,4.46,-2.51,-1.84,-3,52.8,0,0.67
0,0.56,-0.51,-2.04,-2.04,3.86,-2.47,-1.82,-3,52.8,0,0.65
0,0.6,-0.58,-2.34,-2.34,3.62,-2.43,-1.8,-3,52.8,0,0.63
0,0.64,-0.62,-2.47,-2.47,2.82,-2.34,-1.73,-3,52.8,0,0.61
0,0.58,-0.62,-2.48,-2.48,0.65,-1.74,-1.15,-2,52.8,0,0.6
0,0.54,-0.55,-2.18,-2.18,-1.92,-0.59,0,0,52.8,0,0.59
0,0.44,-0.49,-1.95,-1.95,-3.43,0.35,0.95,1,52.8,0,0.59
0,0.36,-0.39,-1.55,-1.55,-4.01,0.89,1.49,2,52.8,0,0.6
0,0.27,-0.32,-1.27,-1.27,-4.25,1.16,1.77,3,52.8,0,0.61
0,0.23,-0.25,-1.01,-1.01,-3.94,1.28,1.89,3,52.8,0,0.62
0,0.21,-0.23,-0.9,-0.9,-2.61,1.01,1.63,3,52.8,0,0.62
0,0.26,-0.23,-0.93,-0.93,-0.55,0.27,0.9,1,52.8,0,0.63
0,0.28,-0.27,-1.09,-1.09,1.25,-0.61,0.01,0,52.8,0,0.62
0,0.38,-0.31,-1.25,-1.25,2.31,-1.24,-0.62,-1,52.8,0,0.62
0,0.47,-0.43,-1.72,-1.72,3.28,-1.8,-1.19,-2,52.8,0,0.6
0,0.55,-0.51,-2.04,-2.04,4.14,-2.33,-1.75,-3,52.8,0,0.59
0,0.6,-0.58,-2.32,-2.32,3.74,-2.59,-2.02,-4,52.8,0,0.57
0,0.61,-0.61,-2.44,-2.44,2.08,-2.17,-1.62,-3,52.8,0,0.55
0,0.6,-0.61,-2.42,-2.42,0.36,-1.44,-0.9,-1,52.8,0,0.54
0,0.53,-0.59,-2.35,-2.35,-1.07,-0.8,-0.27,0,52.8,0,0.53
0,0.46,-0.5,-1.99,-1.99,-2.82,-0.04,0.49,0,52.8,0,0.53
0,0.35,-0.41,-1.62,-1.62,-4.67,0.87,1.41,2,52.8,0,0.53
0,0.26,-0.29,-1.18,-1.18,-5.38,1.62,2.17,4,52.8,0,0.55
0,0.21,-0.22,-0.88,-0.88,-4.55,1.69,2.25,4,52.8,0,0.56
0,0.12,-0.17,-0.67,-0.67,-3.17,1.27,1.84,3,52.8,0,0.57
0,0.14,-0.11,-0.45,-0.45,-2.07,0.86,1.44,2,52.8,0,0.58
0,0.13,-0.13,-0.54,-0.54,-0.62,0.35,0.93,1,52.8,0,0.58
0,0.2,-0.18,-0.71,-0.71,1.08,-0.38,0.2,0,52.8,0,0.58
0,0.29,-0.23,-0.93,-0.93,2.38,-1.1,-0.52,-1,52.8,0,0.57
0,0.38,-0.34,-1.37,-1.37,3.27,-1.68,-1.12,-2,52.8,0,0.56
0,0.44,-0.4,-1.62,-1.62,4.17,-2.15,-1.6,-3,52.8,0,0.54
0,0.5,-0.47,-1.88,-1.88,4.14,-2.49,-1.97,-3,52.8,0,0.53
0,0.49,-0.5,-1.98,-1.98,2.28,-2.17,-1.66,-3,52.8,0,0.51
0,0.45,-0.46,-1.85,-1.85,-0.44,-1.1,-0.6,-1,52.8,0,0.5
0,0.4,-0.44,-1.77,-1.77,-2.29,-0.1,0.4,0,52.8,0,0.5
0,0.29,-0.34,-1.36,-1.36,-3.28,0.58,1.08,2,52.8,0,0.5
0,0.17,-0.23,-0.92,-0.92,-4.57,1.17,1.68,3,52.8,0,0.51
0,0.07,-0.13,-0.51,-0.51,-5.87,1.92,2.44,4,52.8,0,0.52
0,-0.01,-0.02,-0.08,-0.08,-5.7,2.38,2.91,5,52.8,0,0.54
0,-0.05,0.03,0.14,0.14,-4.09,2.04,2.6,5,52.8,0,0.55
0,-0.1,0.07,0.3,0.3,-2.68,1.44,2,4,52.8,0,0.57
0,-0.09,0.12,0.48,0.48,-1.74,1.07,1.65,3,52.8,0,0.57
0,-0.01,0.05,0.18,0.18,-0.19,0.52,1.1,2,52.8,0,0.58
0,0.02,-0.01,-0.03,-0.03,2.39,-0.42,0.16,0,52.8,0,0.58
0,0.14,-0.07,-0.3,-0.3,4.72,-1.6,-1.03,-2,52.8,0,0.57
0,0.22,-0.17,-0.7,-0.7,5.17,-2.38,-1.82,-3,52.8,0,0.55
0,0.27,-0.25,-0.98,-0.98,3.68,-2.23,-1.69,-3,52.8,0,0.53
0,0.28,-0.26,-1.05,-1.05,1.65,-1.48,-0.96,-1,52.8,0,0.52
0,0.26,-0.29,-1.14,-1.14,0,-0.76,-0.25,0,52.8,0,0.51
0,0.19,-0.23,-0.9,-0.9,-1.49,-0.07,0.44,0,52.8,0,0.51
0,0.09,-0.15,-0.61,-0.61,-3.35,0.71,1.22,2,52.8,0,0.52
0,-0.02,-0.03,-0.14,-0.14,-5.01,1.66,2.19,4,52.8,0,0.53
0,-0.13,0.07,0.28,0.28,-5.35,2.26,2.8,5,52.8,0,0.54
0,-0.2,0.16,0.65,0.65,-4.82,2.31,2.87,5,52.8,0,0.56
0,-0.27,0.26,1.04,1.04,-4.29,2.24,2.81,5,52.8,0,0.58
0,-0.28,0.28,1.14,1.14,-3.34,2.02,2.61,5,52.8,0,0.59
0,-0.29,0.29,1.14,1.14,-1.54,1.47,2.07,4,52.8,0,0.61
