遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出,I项输出
0,-0.19,0.19,0.37,0.37,-0.03,0.16,0.22,0,0.15,0,0.06
0,-0.19,0.19,0.38,0.38,-0.03,0.16,0.22,0,0.15,0,0.06
0,-0.19,0.19,0.38,0.38,-0.02,0.16,0.22,0,0.15,0,0.06
0,-0.19,0.19,0.38,0.38,-0.02,0.16,0.22,0,0.15,0,0.06
0,-0.19,0.19,0.38,0.38,-0.03,0.16,0.22,0,0.15,0,0.06
0,-0.19,0.19,0.38,0.38,-0.04,0.16,0.22,0,0.15,0,0.06
0,-0.19,0.19,0.37,0.37,-0.04,0.17,0.23,0,0.15,0,0.06
0,-0.19,0.19,0.38,0.38,-0.05,0.17,0.23,0,0.15,0,0.06
0,-0.18,0.18,0.37,0.37,-0.03,0.16,0.22,0,0.15,0,0.06
0,-0.19,0.18,0.37,0.37,-0.03,0.16,0.22,0,0.15,0,0.06
0,-0.18,0.18,0.37,0.37,-0.04,0.16,0.22,0,0.15,0,0.06
0,-0.18,0.18,0.37,0.37,-0.05,0.17,0.23,0,0.15,0,0.06
0,-0.18,0.18,0.37,0.37,-0.04,0.17,0.23,0,0.45,0,0.06
0,-0.18,0.18,0.36,0.36,-0.03,0.16,0.22,0,2.55,0,0.06
0,-0.18,0.18,0.36,0.36,-0.03,0.16,0.22,0,3.75,0,0.07
0,-0.18,0.18,0.36,0.36,-0.03,0.16,0.22,0,3.9,0,0.07
0,-0.18,0.18,0.36,0.36,-0.03,0.15,0.22,0,5.25,0,0.07
0,-0.18,0.18,0.36,0.36,-0.02,0.15,0.22,0,5.4,0,0.07
0,-0.18,0.18,0.36,0.36,-0.02,0.15,0.22,0,6,0,0.07
0,-0.18,0.18,0.36,0.36,-0.04,0.16,0.22,0,6.45,0,0.07
0,-0.18,0.18,0.36,0.36,-0.05,0.16,0.23,0,6.75,0,0.07
0,-0.18,0.18,0.36,0.36,-0.05,0.16,0.23,0,8.25,0,0.07
0,-0.18,0.18,0.36,0.36,-0.05,0.16,0.23,0,8.85,0,0.07
0,-0.18,0.18,0.35,0.35,-0.04,0.16,0.23,0,10.8,0,0.07
0,-0.18,0.18,0.36,0.36,-0.04,0.16,0.23,0,11.85,0,0.07
0,-0.18,0.18,0.36,0.36,-0.04,0.16,0.23,0,12.15,0,0.07
0,-0.18,0.18,0.35,0.35,-0.03,0.16,0.23,0,12.6,0,0.07
0,-0.18,0.18,0.35,0.35,-0.01,0.15,0.22,0,12.75,0,0.07
0,-0.18,0.18,0.35,0.35,-0.02,0.15,0.22,0,12.9,0,0.07
0,-0.18,0.18,0.35,0.35,-0.02,0.15,0.22,0,13.2,0,0.07
