遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出,I项输出
0,-37.24,36.73,55.1,55.1,-50.81,41.99,47.07,94,56.85,0.41,4.67
0,-38.02,37.62,56.42,56.42,-52.64,43.27,48.65,97,56.7,0.31,5.07
0,-38.76,38.36,57.54,57.54,-54.21,44.41,50.04,100,56.85,0.31,5.32
0,-39.63,39.16,58.74,58.74,-54.96,45.37,51.29,102,56.85,0.26,5.66
0,-40.6,40.11,60.17,60.17,-55.08,46.1,52.28,104,56.85,0.18,6
0,-41.6,41.11,61.66,61.66,-54.31,46.61,53.13,106,56.85,0.08,6.44
0,-42.67,42.13,63.19,63.19,-52.45,46.66,53.33,106,56.85,-0.03,6.7
0,-43.92,43.28,64.93,64.93,-50.61,46.56,53.58,107,56.85,-0.11,7.13
0,-45.04,44.53,66.8,66.8,-49.37,46.67,53.9,107,56.7,-0.17,7.4
0,-45.73,44.53,66.8,66.8,-48.77,46.67,53.9,107,56.85,-0.17,7.4
0,-46.67,44.53,66.8,66.8,-48.13,46.67,53.9,107,56.85,-0.17,7.4
0,-47.83,44.53,66.8,66.8,-49.95,46.67,53.9,107,56.85,-0.17,7.4
0,-49.07,44.53,66.8,66.8,-58.43,46.67,53.9,107,56.85,-0.17,7.4
0,-51.16,44.53,66.8,66.8,-74.14,46.67,53.9,107,56.7,-0.17,7.4
0,-53.52,44.53,66.8,66.8,-95.84,46.67,53.9,107,56.85,-0.17,7.4
0,-56.53,44.53,66.8,66.8,-119.06,46.67,53.9,107,56.85,-0.17,7.4
0,-60.31,44.53,66.8,66.8,-146.9,46.67,53.9,107,56.85,-0.17,7.4
0,-65.12,44.53,66.8,66.8,-182.31,46.67,53.9,107,56.85,-0.17,7.4
0,-70.3,44.53,66.8,66.8,-218.69,46.67,53.9,107,56.85,-0.17,7.4
0,-76.66,44.53,66.8,66.8,-254.93,46.67,53.9,107,56.85,-0.17,7.4
0,-83.78,44.53,66.8,66.8,-298.22,46.67,53.9,107,56.85,-0.17,7.4
0,-87.05,44.53,66.8,66.8,-346.37,46.67,53.9,107,56.7,-0.17,7.4
0,-77.98,44.53,66.8,66.8,-390.23,46.67,53.9,107,56.85,-0.17,7.4
0,-67.54,44.53,66.8,66.8,-425.9,46.67,53.9,107,56.85,-0.17,7.4
0,-56.64,44.53,66.8,66.8,-461.36,46.67,53.9,107,56.85,-0.17,7.4
0,-45.41,44.53,66.8,66.8,-500.89,46.67,53.9,107,56.85,-0.17,7.4
0,-33.61,44.53,66.8,66.8,-546.31,46.67,53.9,107,56.7,-0.17,7.4
0,-21.42,44.53,66.8,66.8,-588,46.67,53.9,107,56.85,-0.17,7.4
0,-9.2,44.53,66.8,66.8,-607.28,46.67,53.9,107,56.85,-0.17,7.4
0,2.88,44.53,66.8,66.8,-605.57,46.67,53.9,107,56.85,-0.17,7.4
0,14.51,44.53,66.8,66.8,-601.67,46.67,53.9,107,56.85,-0.17,7.4
0,25.14,44.53,66.8,66.8,-594.34,46.67,53.9,107,56.7,-0.17,7.4
0,35.36,44.53,66.8,66.8,-570.97,46.67,53.9,107,56.85,-0.17,7.4
0,44.29,44.53,66.8,66.8,-536.44,46.67,53.9,107,56.85,-0.17,7.4
0,52.29,44.53,66.8,66.8,-492.19,46.67,53.9,107,56.85,-0.17,7.4
0,59.48,44.53,66.8,66.8,-441.23,46.67,53.9,107,56.7,-0.17,7.4
0,65.36,44.53,66.8,66.8,-387.04,46.67,53.9,107,56.7,-0.17,7.4
0,69.52,44.53,66.8,66.8,-323.5,46.67,53.9,107,56.7,-0.17,7.4
0,72.15,44.53,66.8,66.8,-247.42,46.67,53.9,107,56.85,-0.17,7.4
0,73.2,44.53,66.8,66.8,-165.05,46.67,53.9,107,56.85,-0.17,7.4
0,72.95,44.53,66.8,66.8,-86.15,46.67,53.9,107,56.7,-0.17,7.4
0,71.47,44.53,66.8,66.8,-11.21,46.67,53.9,107,56.85,-0.17,7.4
0,68.69,44.53,66.8,66.8,58.91,46.67,53.9,107,56.85,-0.17,7.4
0,64.79,44.53,66.8,66.8,121.4,46.67,53.9,107,56.85,-0.17,7.4
0,59.94,44.53,66.8,66.8,173.97,46.67,53.9,107,56.7,-0.17,7.4
0,54.07,44.53,66.8,66.8,221.7,46.67,53.9,107,56.85,-0.17,7.4
0,47.11,44.53,66.8,66.8,270.68,46.67,53.9,107,56.7,-0.17,7.4
0,39.26,44.53,66.8,66.8,317.73,46.67,53.9,107,56.7,-0.17,7.4
0,30.79,44.53,66.8,66.8,358.39,46.67,53.9,107,56.7,-0.17,7.4
0,21.84,44.53,66.8,66.8,392.87,46.67,53.9,107,56.85,-0.17,7.4
0,12.45,44.53,66.8,66.8,423.31,46.67,53.9,107,56.85,-0.17,7.4
0,2.82,44.53,66.8,66.8,449.23,46.67,53.9,107,56.85,-0.17,7.4
0,-6.67,44.53,66.8,66.8,466.32,46.67,53.9,107,56.25,-0.17,7.4
0,-15.71,44.53,66.8,66.8,470.63,46.67,53.9,107,43.95,-0.17,7.4
0,-24.1,44.53,66.8,66.8,462.3,46.67,53.9,107,38.25,-0.17,7.4
0,-31.88,44.53,66.8,66.8,444.46,46.67,53.9,107,13.2,-0.17,7.4
0,-38.99,44.53,66.8,66.8,420.53,46.67,53.9,107,0,-0.17,7.4
0,-45.33,44.53,66.8,66.8,390.39,46.67,53.9,107,0,-0.17,7.4
0,-50.73,44.53,66.8,66.8,352.5,46.67,53.9,107,0,-0.17,7.4
0,-54.82,44.53,66.8,66.8,304.52,46.67,53.9,107,0,-0.17,7.4
0,-57.58,44.53,66.8,66.8,244.88,46.67,53.9,107,0,-0.17,7.4
0,-59.23,44.53,66.8,66.8,180.14,46.67,53.9,107,0,-0.17,7.4
0,-59.7,44.53,66.8,66.8,116.61,46.67,53.9,107,0,-0.17,7.4
0,-58.94,44.53,66.8,66.8,53.74,46.67,53.9,107,0,-0.17,7.4
0,-57.11,44.53,66.8,66.8,-8.36,46.67,53.9,107,0,-0.17,7.4
0,-54.27,44.53,66.8,66.8,-66.1,46.67,53.9,107,0,-0.17,7.4
0,-50.7,44.53,66.8,66.8,-116.16,46.67,53.9,107,0,-0.17,7.4
0,-46.48,44.53,66.8,66.8,-156.94,46.67,53.9,107,0,-0.17,7.4
0,-41.46,44.53,66.8,66.8,-192.92,46.67,53.9,107,0,-0.17,7.4
0,-35.7,44.53,66.8,66.8,-229.57,46.67,53.9,107,0,-0.17,7.4
0,-29.34,44.53,66.8,66.8,-264.71,46.67,53.9,107,0,-0.17,7.4
0,-22.63,44.53,66.8,66.8,-294.32,46.67,53.9,107,0,-0.17,7.4
0,-15.68,44.53,66.8,66.8,-318.22,46.67,53.9,107,0,-0.17,7.4
0,-8.51,44.53,66.8,66.8,-337.57,46.67,53.9,107,0,-0.17,7.4
0,-1.27,44.53,66.8,66.8,-352.26,46.67,53.9,107,0,-0.17,7.4
0,5.76,44.53,66.8,66.8,-359.53,46.67,53.9,107,0,-0.17,7.4
0,12.5,44.53,66.8,66.8,-358.35,46.67,53.9,107,0,-0.17,7.4
0,18.78,44.53,66.8,66.8,-349.15,46.67,53.9,107,0,-0.17,7.4
0,24.63,44.53,66.8,66.8,-333.77,46.67,53.9,107,0,-0.17,7.4
0,29.83,44.53,66.8,66.8,-312.7,46.67,53.9,107,0,-0.17,7.4
0,34.36,44.53,66.8,66.8,-284.84,46.67,53.9,107,0,-0.17,7.4
0,37.94,44.53,66.8,66.8,-248.99,46.67,53.9,107,0,-0.17,7.4
0,40.58,44.53,66.8,66.8,-205.57,46.67,53.9,107,0,-0.17,7.4
0,42.34,44.53,66.8,66.8,-158.79,46.67,53.9,107,0,-0.17,7.4
0,43.21,44.53,66.8,66.8,-112.37,46.67,53.9,107,0,-0.17,7.4
0,43.2,44.53,66.8,66.8,-66.47,46.67,53.9,107,0,-0.17,7.4
0,42.31,44.53,66.8,66.8,-20.13,46.67,53.9,107,0,-0.17,7.4
0,40.62,44.53,66.8,66.8,24.79,46.67,53.9,107,0,-0.17,7.4
0,38.31,44.53,66.8,66.8,65.06,46.67,53.9,107,0,-0.17,7.4
0,35.4,44.53,66.8,66.8,100.04,46.67,53.9,107,0,-0.17,7.4
0,31.83,44.53,66.8,66.8,132.19,46.67,53.9,107,0,-0.17,7.4
0,27.68,44.53,66.8,66.8,163.19,46.67,53.9,107,0,-0.17,7.4
0,23.03,44.53,66.8,66.8,192.16,46.67,53.9,107,0,-0.17,7.4
0,17.99,44.53,66.8,66.8,218.14,46.67,53.9,107,0,-0.17,7.4
0,12.67,44.53,66.8,66.8,239.96,46.67,53.9,107,0,-0.17,7.4
0,7.18,44.53,66.8,66.8,256.95,46.67,53.9,107,0,-0.17,7.4
0,1.67,44.53,66.8,66.8,268.71,46.67,53.9,107,0,-0.17,7.4
0,-3.74,44.53,66.8,66.8,274.46,46.67,53.9,107,0,-0.17,7.4
0,-8.92,44.53,66.8,66.8,273.98,46.67,53.9,107,0,-0.17,7.4
0,-13.8,44.53,66.8,66.8,267.69,46.67,53.9,107,0,-0.17,7.4
0,-18.25,44.53,66.8,66.8,255.95,46.67,53.9,107,0,-0.17,7.4
0,-22.12,44.53,66.8,66.8,238.2,46.67,53.9,107,0,-0.17,7.4
0,-25.36,44.53,66.8,66.8,214.14,46.67,53.9,107,0,-0.17,7.4
0,-27.93,44.53,66.8,66.8,185.29,46.67,53.9,107,0,-0.17,7.4
0,-29.78,44.53,66.8,66.8,153.16,46.67,53.9,107,0,-0.17,7.4
0,-30.86,44.53,66.8,66.8,118.12,46.67,53.9,107,0,-0.17,7.4
0,-31.16,44.53,66.8,66.8,80.62,46.67,53.9,107,0,-0.17,7.4
0,-30.65,44.53,66.8,66.8,40.84,46.67,53.9,107,0,-0.17,7.4
0,-29.55,44.53,66.8,66.8,0.92,46.67,53.9,107,0,-0.17,7.4
0,-27.95,44.53,66.8,66.8,-35.26,46.67,53.9,107,0,-0.17,7.4
0,-25.95,44.53,66.8,66.8,-65,46.67,53.9,107,0,-0.17,7.4
0,-23.6,44.53,66.8,66.8,-88.18,46.67,53.9,107,0,-0.17,7.4
0,-20.94,44.53,66.8,66.8,-107.29,46.67,53.9,107,0,-0.17,7.4
0,-17.95,44.53,66.8,66.8,-124.61,46.67,53.9,107,0,-0.17,7.4
0,-14.66,44.53,66.8,66.8,-141.13,46.67,53.9,107,0,-0.17,7.4
0,-11.15,44.53,66.8,66.8,-156.38,46.67,53.9,107,0,-0.17,7.4
0,-7.48,44.53,66.8,66.8,-169.22,46.67,53.9,107,0,-0.17,7.4
0,-3.77,44.53,66.8,66.8,-178.53,46.67,53.9,107,0,-0.17,7.4
0,-0.09,44.53,66.8,66.8,-183.81,46.67,53.9,107,0,-0.17,7.4
0,3.54,44.53,66.8,66.8,-185.72,46.67,53.9,107,0,-0.17,7.4
0,7.03,44.53,66.8,66.8,-184.56,46.67,53.9,107,0,-0.17,7.4
0,10.36,44.53,66.8,66.8,-180.8,46.67,53.9,107,0,-0.17,7.4
0,13.44,44.53,66.8,66.8,-174,46.67,53.9,107,0,-0.17,7.4
0,16.14,44.53,66.8,66.8,-162.45,46.67,53.9,107,0,-0.17,7.4
0,18.28,44.53,66.8,66.8,-144.48,46.67,53.9,107,0,-0.17,7.4
0,19.88,44.53,66.8,66.8,-121.35,46.67,53.9,107,0,-0.17,7.4
0,21.03,44.53,66.8,66.8,-96.95,46.67,53.9,107,0,-0.17,7.4
0,21.79,44.53,66.8,66.8,-73.74,46.67,53.9,107,0,-0.17,7.4
0,22.09,44.53,66.8,66.8,-51.48,46.67,53.9,107,0,-0.17,7.4
0,21.87,44.53,66.8,66.8,-27.82,46.67,53.9,107,0,-0.17,7.4
0,21.13,44.53,66.8,66.8,-1.94,46.67,53.9,107,0,-0.17,7.4
0,0.09,0,0,0,-0.05,0,0,0,0,0,0
0,0.09,0,0,0,-0.03,0,0,0,0,0,0
0,0.09,0,0,0,-0.01,0,0,0,0,0,0
0,0.09,0,0,0,-0.02,0,0,0,0,0,0
0,0.09,0,0,0,-0.01,0,0,0,0,0,0
0,0.09,0,0,0,-0.01,0,0,0,0,0,0
0,0.1,0,0,0,-0.02,0,0,0,0,0,0
0,0.09,0,0,0,-0.03,0,0,0,0,0,0
0,0.09,0,0,0,-0.04,0,0,0,0,0,0
0,0.09,0,0,0,-0.04,0,0,0,0,0,0
0,0.09,0,0,0,-0.03,0,0,0,0,0,0
0,0.09,0,0,0,-0.04,0,0,0,0,0,0
0,0.09,0,0,0,-0.05,0,0,0,0,0,0
0,0.09,0,0,0,-0.05,0,0,0,0,0,0
0,0.09,0,0,0,-0.05,0,0,0,0,0,0
0,0.09,0,0,0,-0.06,0,0,0,0,0,0
0,0.09,0,0,0,-0.04,0,0,0,0,0,0
0,0.09,0,0,0,-0.04,0,0,0,0,0,0
0,0.09,0,0,0,-0.05,0,0,0,0,0,0
0,0.09,0,0,0,-0.04,0,0,0,0,0,0
0,0.09,0,0,0,-0.05,0,0,0,0,0,0
0,0.09,0,0,0,-0.05,0,0,0,0,0,0
0,0.09,0,0,0,-0.05,0,0,0,0,0,0
0,0.09,0,0,0,-0.04,0,0,0,0,0,0
0,0.09,0,0,0,-0.03,0,0,0,0,0,0
0,0.08,0,0,0,-0.02,0,0,0,0,0,0
0,0.08,0,0,0,-0.03,0,0,0,0,0,0
0,0.08,0,0,0,-0.05,0,0,0,0,0,0
0,0.09,0,0,0,-0.04,0,0,0,0,0,0
0,0.09,0,0,0,-0.04,0,0,0,0,0,0
0,0.09,0,0,0,-0.02,0,0,0,0,0,0
0,0.09,0,0,0,-0.02,0,0,0,0,0,0
0,0.09,0,0,0,-0.05,0,0,0,0,0,0
0,0.09,0,0,0,-0.07,0,0,0,0,0,0
0,0.08,0,0,0,-0.07,0,0,0,0,0,0
0,0.08,0,0,0,-0.09,0,0,0,0,0,0
0,0.08,0,0,0,-0.09,0,0,0,0,0,0
0,0.08,0,0,0,-0.08,0,0,0,0,0,0
0,0.08,0,0,0,-0.08,0,0,0,0,0,0
0,0.08,0,0,0,-0.06,0,0,0,0,0,0
0,0.08,0,0,0,-0.04,0,0,0,0,0,0
0,0.08,0,0,0,-0.05,0,0,0,0,0,0
0,0.08,0,0,0,-0.06,0,0,0,0,0,0
0,0.08,0,0,0,-0.05,0,0,0,0,0,0
0,0.08,0,0,0,-0.05,0,0,0,0,0,0
0,0.08,0,0,0,-0.06,0,0,0,0,0,0
0,0.08,0,0,0,-0.05,0,0,0,0,0,0
0,0.08,0,0,0,-0.06,0,0,0,0,0,0
0,0.08,0,0,0,-0.06,0,0,0,0,0,0
0,0.08,0,0,0,-0.04,0,0,0,0,0,0
0,0.08,0,0,0,-0.03,0,0,0,0,0,0
0,0.09,0,0,0,-0.03,0,0,0,0,0,0
0,0.09,0,0,0,-0.01,0,0,0,0,0,0
0,0.09,0,0,0,-0.01,0,0,0,0,0,0
0,0.09,0,0,0,-0.01,0,0,0,0,0,0
0,0.09,0,0,0,-0.01,0,0,0,0,0,0
0,0.09,0,0,0,-0.02,0,0,0,0,0,0
0,0.09,0,0,0,-0.04,0,0,0,0,0,0
0,0.09,0,0,0,-0.03,0,0,0,0,0,0
0,0.09,0,0,0,0,0,0,0,0,0,0
0,0.09,0,0,0,-0.02,0,0,0,0,0,0
0,0.09,0,0,0,-0.03,0,0,0,0,0,0
0,0.09,0,0,0,-0.02,0,0,0,0,0,0
0,0.09,0,0,0,-0.01,0,0,0,0,0,0
0,0.09,0,0,0,-0.02,0,0,0,0,0,0
